Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
KR,All South Korean Companies,Commercial Services,2026-06-05 18:00:00,25,3,0,1,38,23,7,5,3,0,265184328549.0
KR,All South Korean Companies,Communications,2026-06-05 18:00:00,2,2,0,0,4,3,2,1,0,0,276338922596.0
KR,All South Korean Companies,Consumer Durables,2026-06-05 18:00:00,17,4,1,1,32,13,4,7,1,0,3655505785867.0
KR,All South Korean Companies,Consumer Non-Durables,2026-06-05 18:00:00,43,6,4,3,70,17,7,3,2,0,558419993326.0
KR,All South Korean Companies,Consumer Services,2026-06-05 18:00:00,26,5,1,5,26,6,1,4,1,0,217015034990.0
KR,All South Korean Companies,Distribution Services,2026-06-05 18:00:00,8,3,2,2,20,12,3,6,4,0,208947671078.0
KR,All South Korean Companies,Electronic Technology,2026-06-05 18:00:00,47,11,5,10,109,75,76,81,9,0,31436773779577.0
KR,All South Korean Companies,Energy Minerals,2026-06-05 18:00:00,1,1,1,0,6,1,0,0,0,0,84720031007.0
KR,All South Korean Companies,Finance,2026-06-05 18:00:00,60,4,2,2,76,18,8,4,21,0,4162173976792.0
KR,All South Korean Companies,Health Services,2026-06-05 18:00:00,2,0,0,0,7,0,0,0,1,0,26913504180.0
KR,All South Korean Companies,Health Technology,2026-06-05 18:00:00,45,15,4,9,132,62,22,16,5,0,1896906763866.0
KR,All South Korean Companies,Industrial Services,2026-06-05 18:00:00,10,3,0,0,26,12,2,1,2,0,539335389222.0
KR,All South Korean Companies,Miscellaneous,2026-06-05 18:00:00,1,0,0,0,3,0,3,0,1,0,10067003270.0
KR,All South Korean Companies,Non-Energy Minerals,2026-06-05 18:00:00,17,2,1,3,56,9,6,9,5,0,365426205559.0
KR,All South Korean Companies,Process Industries,2026-06-05 18:00:00,44,11,1,2,103,37,18,13,1,0,984003491983.0
KR,All South Korean Companies,Producer Manufacturing,2026-06-05 18:00:00,54,12,4,9,166,95,72,40,10,0,8655287022241.0
KR,All South Korean Companies,Retail Trade,2026-06-05 18:00:00,10,4,0,1,15,2,5,3,0,0,304332385952.0
KR,All South Korean Companies,Technology Services,2026-06-05 18:00:00,31,9,6,10,80,51,24,22,7,0,2289868389564.0
KR,All South Korean Companies,Transportation,2026-06-05 18:00:00,9,0,1,0,23,2,1,1,0,0,234639723499.0
KR,All South Korean Companies,Unknown,2026-06-05 18:00:00,0,0,0,0,0,0,0,0,0,1,313039539584.0
KR,All South Korean Companies,Utilities,2026-06-05 18:00:00,5,0,0,0,12,3,2,0,1,0,124336555962.0
KR,KOSPI Composite Index,Commercial Services,2026-06-05 18:00:00,0,1,0,0,9,2,1,0,1,0,73563889218.0
KR,KOSPI Composite Index,Communications,2026-06-05 18:00:00,1,0,0,0,4,1,0,0,0,0,271045861562.0
KR,KOSPI Composite Index,Consumer Durables,2026-06-05 18:00:00,6,2,0,0,15,4,3,1,1,0,3483062617590.0
KR,KOSPI Composite Index,Consumer Non-Durables,2026-06-05 18:00:00,20,3,0,0,44,8,2,1,2,0,459306953091.0
KR,KOSPI Composite Index,Consumer Services,2026-06-05 18:00:00,13,1,1,3,3,1,0,1,0,0,124471554786.0
KR,KOSPI Composite Index,Distribution Services,2026-06-05 18:00:00,4,0,1,0,8,2,1,1,0,0,158806602738.0
KR,KOSPI Composite Index,Electronic Technology,2026-06-05 18:00:00,6,1,1,2,21,11,6,7,2,0,28502086412911.0
KR,KOSPI Composite Index,Energy Minerals,2026-06-05 18:00:00,1,1,0,0,4,1,0,0,0,0,74661709645.0
KR,KOSPI Composite Index,Finance,2026-06-05 18:00:00,27,4,1,1,36,6,3,1,3,0,4026247259038.0
