Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-06-05 08:00:00,3,0,0,0,3,0,0,0,0,0,37576414200.0
JP,Japan 225 Index,Communications,2026-06-05 08:00:00,2,0,0,0,2,0,0,0,0,0,532818539910.0
JP,Japan 225 Index,Consumer Durables,2026-06-05 08:00:00,9,1,0,0,11,2,0,0,0,0,348308758300.0
JP,Japan 225 Index,Consumer Non-Durables,2026-06-05 08:00:00,5,0,0,0,6,1,0,0,0,0,97487440600.0
JP,Japan 225 Index,Consumer Services,2026-06-05 08:00:00,0,0,0,0,2,0,0,0,0,0,12176515000.0
JP,Japan 225 Index,Distribution Services,2026-06-05 08:00:00,3,0,0,0,1,1,0,0,0,0,122839927450.0
JP,Japan 225 Index,Electronic Technology,2026-06-05 08:00:00,6,1,0,0,8,2,3,0,0,0,4196880243450.0
JP,Japan 225 Index,Energy Minerals,2026-06-05 08:00:00,1,0,0,0,2,0,0,0,0,0,25627233700.0
JP,Japan 225 Index,Finance,2026-06-05 08:00:00,22,0,1,0,5,0,0,0,0,0,584529262850.0
JP,Japan 225 Index,Health Technology,2026-06-05 08:00:00,5,1,0,0,6,0,0,0,0,0,161025256500.0
JP,Japan 225 Index,Industrial Services,2026-06-05 08:00:00,5,1,0,0,0,0,0,0,0,0,36509296100.0
JP,Japan 225 Index,Non-Energy Minerals,2026-06-05 08:00:00,4,0,0,0,3,1,0,0,0,0,131031616450.0
JP,Japan 225 Index,Process Industries,2026-06-05 08:00:00,7,0,0,0,9,3,0,0,0,0,175970333200.0
JP,Japan 225 Index,Producer Manufacturing,2026-06-05 08:00:00,13,4,0,1,10,3,2,1,0,0,1435479623700.0
JP,Japan 225 Index,Retail Trade,2026-06-05 08:00:00,8,1,0,0,2,1,0,0,0,0,131691701140.0
JP,Japan 225 Index,Technology Services,2026-06-05 08:00:00,8,2,0,1,1,0,0,0,0,0,155718816350.0
JP,Japan 225 Index,Transportation,2026-06-05 08:00:00,8,3,0,0,3,0,0,0,0,0,127340424300.0
JP,Japan 225 Index,Utilities,2026-06-05 08:00:00,3,0,0,0,2,0,0,0,0,0,47377890150.0
JP,All Japanese companies,Commercial Services,2026-06-05 08:00:00,185,54,6,5,66,2,3,2,22,1,80329078390.0
JP,All Japanese companies,Communications,2026-06-05 08:00:00,16,1,0,0,5,0,0,0,1,0,536658601910.0
JP,All Japanese companies,Consumer Durables,2026-06-05 08:00:00,79,11,4,1,26,4,1,0,6,0,390977837650.0
JP,All Japanese companies,Consumer Non-Durables,2026-06-05 08:00:00,128,2,2,1,41,4,0,0,10,0,165962238450.0
JP,All Japanese companies,Consumer Services,2026-06-05 08:00:00,138,16,2,2,55,3,0,0,22,0,116479170450.0
JP,All Japanese companies,Distribution Services,2026-06-05 08:00:00,147,10,4,2,46,2,0,0,15,0,170294453200.0
JP,All Japanese companies,Electronic Technology,2026-06-05 08:00:00,90,23,11,10,63,5,3,1,13,0,4515788853600.0
JP,All Japanese companies,Energy Minerals,2026-06-05 08:00:00,2,1,1,0,3,0,0,0,1,0,30658148600.0
JP,All Japanese companies,Finance,2026-06-05 08:00:00,254,21,7,7,68,1,0,0,20,0,807268367760.0
JP,All Japanese companies,Government,2026-06-05 08:00:00,0,0,0,0,1,0,0,0,0,0,9604000.0
JP,All Japanese companies,Health Services,2026-06-05 08:00:00,19,2,2,0,11,0,0,0,0,0,1869499800.0
JP,All Japanese companies,Health Technology,2026-06-05 08:00:00,69,15,10,3,25,4,0,0,6,0,249865247350.0
JP,All Japanese companies,Industrial Services,2026-06-05 08:00:00,104,18,4,1,23,2,0,0,6,0,94981033500.0
JP,All Japanese companies,Miscellaneous,2026-06-05 08:00:00,1,1,0,0,1,0,0,1,0,0,587827300.0
JP,All Japanese companies,Non-Energy Minerals,2026-06-05 08:00:00,55,4,1,0,20,3,0,0,6,0,202167279800.0
JP,All Japanese companies,Process Industries,2026-06-05 08:00:00,133,18,3,6,70,6,2,3,11,0,363778699140.0
JP,All Japanese companies,Producer Manufacturing,2026-06-05 08:00:00,274,43,14,14,114,11,5,4,30,0,1834837074370.0
JP,All Japanese companies,Retail Trade,2026-06-05 08:00:00,136,14,4,0,48,1,0,2,27,0,205406464730.0
JP,All Japanese companies,Technology Services,2026-06-05 08:00:00,320,85,22,19,97,9,5,3,28,0,332167746795.0
JP,All Japanese companies,Transportation,2026-06-05 08:00:00,58,9,0,0,35,2,0,0,7,0,164344247750.0
JP,All Japanese companies,Utilities,2026-06-05 08:00:00,24,4,0,0,3,0,0,0,1,0,74932671390.0
KR,All South Korean Companies,Commercial Services,2026-06-05 08:00:00,25,3,0,1,38,23,7,5,3,0,265055996655.0
KR,All South Korean Companies,Communications,2026-06-05 08:00:00,2,2,0,0,4,3,2,1,0,0,253660390031.0
KR,All South Korean Companies,Consumer Durables,2026-06-05 08:00:00,17,4,1,1,32,13,4,7,1,0,3640682790750.0
KR,All South Korean Companies,Consumer Non-Durables,2026-06-05 08:00:00,43,6,4,3,70,17,7,3,2,0,550645919565.0
KR,All South Korean Companies,Consumer Services,2026-06-05 08:00:00,26,5,1,5,26,6,1,4,1,0,216550805016.0
