Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-05-29 23:43:29,73219967900.0,256010182650.0,864869239150.0
JP,Japan 225 Index,Communications,2026-05-29 23:43:29,740428993500.0,3931565735950.0,12145190847610.0
JP,Japan 225 Index,Consumer Durables,2026-05-29 23:43:29,695507013480.0,2191990413840.0,8827216216800.0
JP,Japan 225 Index,Consumer Non-Durables,2026-05-29 23:43:29,256558108450.0,715401273350.0,2505560272150.0
JP,Japan 225 Index,Consumer Services,2026-05-29 23:43:29,33471847700.0,108574635350.0,380583491000.0
JP,Japan 225 Index,Distribution Services,2026-05-29 23:43:29,403181176400.0,1095748773250.0,3594603765000.0
JP,Japan 225 Index,Electronic Technology,2026-05-29 23:43:29,5209801990300.0,21506814177450.0,65427854504900.0
JP,Japan 225 Index,Energy Minerals,2026-05-29 23:43:29,83923578200.0,226244423900.0,791787652550.0
JP,Japan 225 Index,Finance,2026-05-29 23:43:29,1104216942750.0,3316304980400.0,11381694537900.0
JP,Japan 225 Index,Health Technology,2026-05-29 23:43:29,379407352400.0,1062997946750.0,3835895790450.0
JP,Japan 225 Index,Industrial Services,2026-05-29 23:43:29,70996474500.0,257303912250.0,1054990140000.0
JP,Japan 225 Index,Non-Energy Minerals,2026-05-29 23:43:29,378189191550.0,1026922852310.0,4002613455440.0
JP,Japan 225 Index,Process Industries,2026-05-29 23:43:29,631939826200.0,1667270921920.0,5605692178780.0
JP,Japan 225 Index,Producer Manufacturing,2026-05-29 23:43:29,2262658092030.0,8342563260350.0,32658908315640.0
JP,Japan 225 Index,Retail Trade,2026-05-29 23:43:29,406455522290.0,1073941434080.0,3617592491200.0
JP,Japan 225 Index,Technology Services,2026-05-29 23:43:29,508204329960.0,1221944529250.0,4234130149220.0
JP,Japan 225 Index,Transportation,2026-05-29 23:43:29,206736021980.0,599904926640.0,2143946196770.0
JP,Japan 225 Index,Utilities,2026-05-29 23:43:29,97003846000.0,331412513890.0,1142528461760.0
JP,All Japanese companies,Commercial Services,2026-05-29 23:43:29,130430777060.0,519128266157.0067,1830934525529.918
JP,All Japanese companies,Communications,2026-05-29 23:43:29,744966224100.0,3954044315750.0,12244343431310.0
JP,All Japanese companies,Consumer Durables,2026-05-29 23:43:29,763972746280.0,2446247167190.0,9841771223400.0
JP,All Japanese companies,Consumer Non-Durables,2026-05-29 23:43:29,397092097490.0,1203245965700.0,4456042711840.0
JP,All Japanese companies,Consumer Services,2026-05-29 23:43:29,153417933650.0,615568738690.0,2361826527720.0
JP,All Japanese companies,Distribution Services,2026-05-29 23:43:29,509505671900.0,1433922935100.0,4834174605450.0
JP,All Japanese companies,Electronic Technology,2026-05-29 23:43:29,5658607122500.0,23699277493500.0,72522338265250.0
JP,All Japanese companies,Energy Minerals,2026-05-29 23:43:29,91689392500.0,256864598400.0,918658966950.0
JP,All Japanese companies,Finance,2026-05-29 23:43:29,1543733778850.0,4817651241570.0,16515301678070.0
JP,All Japanese companies,Government,2026-05-29 23:43:29,7203000.0,28812000.0,86436000.0
JP,All Japanese companies,Health Services,2026-05-29 23:43:29,2589978000.0,10373976200.0,39823492000.0
JP,All Japanese companies,Health Technology,2026-05-29 23:43:29,596357196500.0,1612917092550.0,5677981400550.0
JP,All Japanese companies,Industrial Services,2026-05-29 23:43:29,153097566000.0,618354749250.0,2544824987450.0
